station_id,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0-203-0-10501063001,16.0,26.0,24.0,24.0,22.0,25.0,25.0,20.0,23.0,25.0,11.0,10.0,15.0,24.0,23.0,26.0,25.0,23.0,23.0,23.0,26.0,23.0,21.0,23.0,21.0,19.0,9.0,22.0,16.0,26.0,24.0,22.0,24.0,21.0,20.0,24.0,24.0,24.0,23.0,23.0,23.0,21.0,25.0,25.0,26.0,24.0,25.0,24.0,25.0,25.0,20.0,22.0,22.0,22.0,25.0,24.0,23.0,24.0,22.0
0-203-0-10502005001,9.0,9.0,14.0,5.0,17.0,22.0,17.0,19.0,25.0,14.0,16.0,14.0,13.0,23.0,25.0,21.0,20.0,19.0,22.0,25.0,25.0,24.0,22.0,22.0,23.0,23.0,23.0,23.0,21.0,20.0,22.0,21.0,20.0,12.0,8.0,24.0,11.0,22.0,23.0,20.0,26.0,25.0,25.0,24.0,24.0,24.0,20.0,23.0,24.0,23.0,23.0,22.0,24.0,26.0,24.0,22.0,17.0,25.0,23.0
0-203-0-10502050001,22.0,25.0,21.0,22.0,25.0,23.0,25.0,26.0,26.0,22.0,23.0,24.0,23.0,9.0,17.0,26.0,26.0,26.0,23.0,25.0,26.0,26.0,25.0,23.0,24.0,23.0,21.0,22.0,18.0,18.0,24.0,24.0,23.0,13.0,8.0,26.0,23.0,23.0,24.0,24.0,26.0,25.0,24.0,22.0,26.0,24.0,16.0,24.0,24.0,24.0,23.0,22.0,21.0,24.0,25.0,24.0,21.0,23.0,24.0
0-203-0-10502072001,25.0,25.0,23.0,25.0,24.0,24.0,23.0,23.0,24.0,23.0,23.0,20.0,24.0,21.0,24.0,23.0,22.0,21.0,20.0,23.0,19.0,24.0,22.0,22.0,21.0,22.0,21.0,23.0,21.0,17.0,22.0,22.0,23.0,11.0,6.0,24.0,19.0,20.0,21.0,18.0,25.0,22.0,22.0,21.0,21.0,24.0,19.0,25.0,20.0,24.0,24.0,21.0,22.0,25.0,23.0,23.0,22.0,23.0,24.0
0-203-0-10502101001,22.0,25.0,23.0,25.0,25.0,25.0,24.0,26.0,25.0,26.0,24.0,22.0,24.0,24.0,24.0,26.0,25.0,19.0,22.0,25.0,24.0,24.0,24.0,24.0,25.0,23.0,22.0,25.0,21.0,17.0,24.0,25.0,24.0,12.0,7.0,24.0,20.0,21.0,18.0,20.0,25.0,24.0,25.0,24.0,21.0,24.0,19.0,23.0,22.0,24.0,23.0,22.0,24.0,26.0,24.0,23.0,18.0,22.0,23.0
0-203-0-10503013001,20.0,26.0,23.0,20.0,25.0,21.0,25.0,25.0,24.0,26.0,26.0,25.0,25.0,24.0,26.0,25.0,24.0,20.0,23.0,25.0,21.0,23.0,25.0,25.0,25.0,22.0,21.0,23.0,21.0,18.0,21.0,22.0,22.0,9.0,2.0,23.0,22.0,21.0,20.0,16.0,25.0,23.0,24.0,24.0,24.0,25.0,19.0,24.0,23.0,24.0,24.0,23.0,23.0,26.0,22.0,24.0,22.0,22.0,23.0
0-203-0-10504033001,21.0,22.0,18.0,10.0,19.0,22.0,22.0,22.0,23.0,21.0,16.0,21.0,15.0,24.0,22.0,24.0,24.0,20.0,23.0,23.0,23.0,24.0,24.0,23.0,25.0,23.0,22.0,24.0,23.0,15.0,23.0,24.0,23.0,11.0,3.0,23.0,19.0,20.0,21.0,16.0,25.0,25.0,23.0,25.0,25.0,23.0,20.0,25.0,22.0,23.0,20.0,22.0,23.0,26.0,23.0,23.0,24.0,24.0,24.0
0-203-0-10504037001,11.0,14.0,11.0,5.0,21.0,19.0,16.0,21.0,20.0,17.0,16.0,19.0,18.0,23.0,22.0,20.0,22.0,17.0,19.0,25.0,23.0,24.0,25.0,23.0,23.0,23.0,21.0,21.0,21.0,19.0,24.0,19.0,19.0,14.0,4.0,24.0,19.0,19.0,23.0,14.0,26.0,23.0,26.0,23.0,24.0,19.0,19.0,23.0,24.0,25.0,20.0,21.0,22.0,25.0,22.0,22.0,21.0,24.0,23.0
0-203-0-10504048001,21.0,18.0,18.0,8.0,13.0,25.0,23.0,25.0,25.0,24.0,24.0,22.0,23.0,23.0,25.0,25.0,24.0,22.0,22.0,25.0,23.0,25.0,25.0,25.0,24.0,21.0,22.0,23.0,21.0,14.0,9.0,23.0,22.0,11.0,7.0,24.0,19.0,20.0,18.0,11.0,25.0,25.0,21.0,26.0,25.0,13.0,5.0,25.0,24.0,24.0,23.0,26.0,24.0,25.0,23.0,26.0,22.0,25.0,22.0
0-203-0-10601011001,25.0,24.0,20.0,25.0,26.0,21.0,22.0,26.0,24.0,24.0,26.0,25.0,26.0,26.0,25.0,26.0,21.0,25.0,21.0,25.0,25.0,21.0,25.0,23.0,20.0,21.0,23.0,13.0,14.0,21.0,21.0,18.0,22.0,22.0,22.0,24.0,22.0,21.0,19.0,24.0,21.0,19.0,25.0,24.0,26.0,25.0,23.0,20.0,23.0,17.0,16.0,23.0,20.0,16.0,20.0,26.0,19.0,21.0,21.0
0-203-0-10601050001,25.0,26.0,24.0,14.0,23.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,25.0,25.0,24.0,26.0,25.0,21.0,18.0,24.0,26.0,13.0,16.0,17.0,18.0,13.0,21.0,18.0,25.0,23.0,22.0,17.0,21.0,26.0,20.0,25.0,24.0,23.0,25.0,24.0,22.0,25.0,23.0,19.0,22.0,17.0,19.0,22.0,19.0,17.0,22.0,23.0,22.0,21.0,25.0
0-203-0-10602032201,15.0,25.0,23.0,23.0,25.0,23.0,23.0,23.0,25.0,25.0,24.0,23.0,25.0,23.0,21.0,24.0,24.0,22.0,21.0,24.0,24.0,23.0,21.0,25.0,21.0,16.0,19.0,9.0,20.0,21.0,22.0,20.0,21.0,21.0,21.0,24.0,22.0,20.0,18.0,23.0,22.0,21.0,15.0,23.0,21.0,23.0,18.0,21.0,22.0,23.0,20.0,18.0,24.0,20.0,22.0,18.0,21.0,24.0,19.0
0-203-0-10603060001,22.0,20.0,23.0,20.0,23.0,23.0,26.0,24.0,25.0,21.0,24.0,24.0,20.0,25.0,17.0,26.0,22.0,20.0,20.0,25.0,19.0,20.0,22.0,24.0,22.0,19.0,16.0,3.0,17.0,8.0,14.0,20.0,17.0,14.0,16.0,19.0,18.0,19.0,19.0,21.0,26.0,22.0,20.0,21.0,20.0,21.0,18.0,25.0,21.0,26.0,23.0,23.0,23.0,24.0,24.0,26.0,22.0,24.0,22.0
0-203-0-10702007001,21.0,24.0,19.0,23.0,22.0,24.0,23.0,22.0,24.0,19.0,24.0,22.0,21.0,25.0,16.0,21.0,21.0,22.0,22.0,23.0,23.0,24.0,20.0,26.0,22.0,18.0,23.0,7.0,20.0,21.0,21.0,22.0,21.0,15.0,22.0,23.0,18.0,21.0,18.0,25.0,26.0,20.0,22.0,25.0,23.0,20.0,19.0,24.0,21.0,25.0,23.0,24.0,25.0,23.0,22.0,22.0,24.0,26.0,23.0
0-203-0-10702020001,24.0,21.0,22.0,24.0,23.0,26.0,24.0,25.0,25.0,23.0,26.0,25.0,25.0,26.0,25.0,23.0,26.0,26.0,24.0,24.0,24.0,20.0,23.0,23.0,23.0,24.0,24.0,8.0,20.0,21.0,22.0,21.0,23.0,23.0,22.0,23.0,21.0,23.0,19.0,25.0,26.0,23.0,24.0,25.0,24.0,23.0,23.0,25.0,23.0,26.0,23.0,21.0,24.0,22.0,25.0,21.0,25.0,12.0,
0-203-0-10702028001,23.0,25.0,25.0,8.0,17.0,25.0,25.0,23.0,22.0,22.0,21.0,21.0,21.0,22.0,21.0,14.0,23.0,22.0,22.0,21.0,25.0,22.0,22.0,26.0,22.0,21.0,21.0,,12.0,16.0,24.0,21.0,16.0,21.0,21.0,26.0,19.0,19.0,19.0,23.0,26.0,20.0,20.0,22.0,24.0,22.0,20.0,25.0,20.0,25.0,23.0,21.0,25.0,22.0,24.0,16.0,22.0,24.0,24.0
0-203-0-10703011001,23.0,24.0,26.0,25.0,26.0,26.0,25.0,26.0,26.0,26.0,26.0,25.0,25.0,23.0,25.0,23.0,23.0,24.0,24.0,23.0,25.0,21.0,23.0,25.0,24.0,24.0,24.0,5.0,22.0,24.0,23.0,20.0,20.0,22.0,24.0,22.0,21.0,20.0,19.0,23.0,25.0,21.0,23.0,24.0,25.0,23.0,20.0,20.0,23.0,24.0,24.0,21.0,24.0,25.0,24.0,21.0,20.0,25.0,23.0
0-203-0-10703017001,21.0,23.0,23.0,25.0,24.0,23.0,22.0,25.0,23.0,23.0,24.0,22.0,23.0,20.0,23.0,22.0,26.0,25.0,18.0,21.0,24.0,20.0,21.0,22.0,20.0,20.0,25.0,8.0,12.0,23.0,19.0,11.0,21.0,22.0,24.0,25.0,20.0,20.0,20.0,24.0,25.0,20.0,21.0,23.0,23.0,22.0,20.0,23.0,20.0,25.0,24.0,19.0,23.0,24.0,25.0,22.0,22.0,25.0,17.0
0-203-0-10703027001,22.0,25.0,23.0,25.0,24.0,22.0,21.0,25.0,25.0,22.0,26.0,24.0,22.0,22.0,22.0,23.0,22.0,24.0,24.0,24.0,21.0,23.0,23.0,24.0,23.0,19.0,19.0,6.0,22.0,19.0,19.0,22.0,20.0,23.0,23.0,23.0,20.0,19.0,21.0,25.0,26.0,21.0,23.0,23.0,23.0,24.0,21.0,24.0,21.0,26.0,23.0,20.0,25.0,25.0,26.0,22.0,20.0,25.0,23.0
0-203-0-10703036001,13.0,18.0,16.0,21.0,16.0,17.0,12.0,9.0,,16.0,12.0,12.0,11.0,12.0,15.0,9.0,20.0,20.0,21.0,24.0,22.0,24.0,22.0,23.0,25.0,23.0,21.0,6.0,21.0,23.0,22.0,22.0,22.0,23.0,25.0,23.0,20.0,22.0,20.0,24.0,25.0,22.0,22.0,25.0,24.0,25.0,21.0,25.0,22.0,26.0,24.0,19.0,23.0,24.0,24.0,21.0,23.0,11.0,
